combo_case,n,recall_median,recall_mean,recall_sd,prec_median,prec_mean,prec_sd,f1_median,f1_mean,f1_sd,prec_valid_n
C1xM1,3,1.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,3
C1xM2,3,0.750,0.667,0.260,1.000,1.000,0.000,0.857,0.779,0.206,3
C1xM3-L,3,1.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,3
C1xM3-W,3,1.000,1.000,0.000,0.533,0.578,0.077,0.696,0.730,0.060,3
C2xM1,3,1.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,3
C2xM2,3,0.875,0.792,0.144,1.000,1.000,0.000,0.933,0.879,0.095,3
C2xM3-L,3,1.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,3
C2xM3-W,3,1.000,1.000,0.000,0.500,0.500,0.000,0.667,0.667,0.000,3
C3xM1,3,1.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,3
C3xM2,3,0.875,0.875,0.125,1.000,1.000,0.000,0.933,0.930,0.071,3
C3xM3-L,3,1.000,0.989,0.020,1.000,1.000,0.000,1.000,0.994,0.010,3
C3xM3-W,3,1.000,1.000,0.000,0.667,0.733,0.240,0.800,0.832,0.155,3
C4xM1,3,1.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,3
C4xM2,3,0.875,0.833,0.072,1.000,1.000,0.000,0.933,0.908,0.044,3
C4xM3-L,3,1.000,0.989,0.020,1.000,1.000,0.000,1.000,0.994,0.010,3
C4xM3-W,3,1.000,1.000,0.000,0.667,0.778,0.192,0.800,0.867,0.115,3
C5xM1,3,0.758,0.758,0.000,1.000,1.000,0.000,0.862,0.862,0.000,3
C5xM2,3,0.750,0.625,0.217,1.000,1.000,0.000,0.857,0.753,0.180,3
C5xM3-L,3,1.000,1.000,0.000,1.000,0.978,0.037,1.000,0.989,0.019,3
C5xM3-W,3,1.000,1.000,0.000,0.667,0.687,0.035,0.800,0.814,0.024,3
C6xM1,3,1.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,0.000,3
C6xM2,3,0.875,0.750,0.331,1.000,1.000,0.000,0.933,0.826,0.245,3
C6xM3-L,3,1.000,0.989,0.020,1.000,1.000,0.000,1.000,0.994,0.010,3
C6xM3-W,3,1.000,1.000,0.000,0.727,0.798,0.178,0.842,0.881,0.105,3
