cell_id,q_combo,q_case,q_run,q_recall,q_precision,q_f1,q_hits,q_gold_size,q_submitted,q_false_positives,q_trap_inclusion_count,q_hallucination_raw_count,q_m3w_kotlin_recall,q_m3w_rust_recall,q_m2_test_tail_hits,q_m2_test_tail_total,q_tool_calls_count,q_adjudication_count,m_cell_id,m_transcript_path,m_model,m_model_ok,m_advisor_present,m_output_tokens,m_cache_read_tokens,m_cache_creation_tokens,m_cache_creation_5m_tokens,m_cache_creation_1h_tokens,m_tool_calls,m_wall_clock_sec,m_wall_clock_trustworthy,m_isolation_violation,m_isolation_detail,m_requestid_missing,use_zoekt,use_sg,use_serena,use_rg,use_read,use_bash,use_glob,use_grep,use_find,use_zoekt_index,use_evals_ref,use_opus_gen,use_advisor_tu,use_forbidden_path,required_tool_ok,required_tool_note
C1xM1xr1,C1,M1,r1,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,12,0,C1xM1xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a3ce90c8af84dadf5.jsonl,claude-sonnet-4-6,True,True,2030,224767,29544,29544,0,15,101.48,True,False,,False,1,0,3,0,8,1,0,0,0,0,0,0,0,0,True,
C1xM1xr2,C1,M1,r2,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,13,0,C1xM1xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a834d63c6cbf07724.jsonl,claude-sonnet-4-6,True,True,6147,282268,29899,29899,0,17,102.35,True,False,,False,1,0,3,0,10,1,0,0,0,0,0,0,0,0,True,
C1xM1xr3,C1,M1,r3,1.0,1.0,1.0,33,33,33,0,0,0,,,0,0,11,0,C1xM1xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a847afb1a087c391e.jsonl,claude-sonnet-4-6,True,True,2016,254370,31811,31811,0,18,116.10,True,False,,False,2,0,3,0,10,2,0,0,0,0,0,0,0,0,True,
C1xM2xr1,C1,M2,r1,0.875,1.0,0.9333333333333333,7,8,7,0,0,0,,,0,3,16,0,C1xM2xr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a9f00119bfac9774e.jsonl,claude-sonnet-4-6,True,True,2990,326172,32697,32697,0,21,86.62,True,False,,False,7,0,5,0,7,7,0,0,0,0,0,0,0,0,True,
C1xM2xr2,C1,M2,r2,0.75,1.0,0.8571428571428571,6,8,6,0,0,0,,,0,3,14,0,C1xM2xr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a281ca6233152c69a.jsonl,claude-sonnet-4-6,True,True,3176,473848,30609,30609,0,21,117.16,True,False,,False,4,0,9,0,5,4,0,0,0,0,0,0,0,0,True,
C1xM2xr3,C1,M2,r3,0.375,1.0,0.5454545454545454,3,8,3,0,0,0,,,0,3,14,0,C1xM2xr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a338cf5916e9ee375.jsonl,claude-sonnet-4-6,True,True,5283,609996,33262,33262,0,26,169.66,True,False,,False,8,0,8,0,6,8,0,0,0,0,0,0,0,0,True,
C1xM3-Lxr1,C1,M3-L,r1,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,8,0,C1xM3-Lxr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a356179a6d2d23168.jsonl,claude-sonnet-4-6,True,True,5317,270799,32384,32384,0,13,99.72,True,False,,False,3,0,4,0,3,3,0,0,0,0,0,0,0,0,True,
C1xM3-Lxr2,C1,M3-L,r2,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,6,0,C1xM3-Lxr2,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a76b70b6a4019e03a.jsonl,claude-sonnet-4-6,True,True,3962,116504,9418,9418,0,7,59.12,True,False,,False,1,0,2,0,2,1,0,0,0,0,0,0,0,0,True,
C1xM3-Lxr3,C1,M3-L,r3,1.0,1.0,1.0,29,29,29,0,0,0,,,0,0,6,0,C1xM3-Lxr3,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a18ca988ac5300b67.jsonl,claude-sonnet-4-6,True,True,4230,203322,10456,10456,0,10,81.03,True,False,,False,3,0,3,0,1,3,0,0,0,0,0,0,0,0,True,
C1xM3-Wxr1,C1,M3-W,r1,1.0,0.6666666666666666,0.8,8,8,12,4,0,4,1.0,1.0,0,0,8,0,C1xM3-Wxr1,/Users/buyonglee/.claude/projects/-Users-buyonglee-Documents-work-private-intellij-json-helper2/598beb58-8057-4fbd-bcd5-f527301141b5/subagents/workflows/wf_5e31d1d3-f29/agent-a9379fb10194682f0.jsonl,claude-sonnet-4-6,True,True,719,123654,24687,24687,0,10,46.62,True,False,,False,4,0,2,0,2,4,0,0,0,0,0,0,0,0,True,
